gene_id	gene_name	control_rep1	control_rep2	control_rep3	nilotinib_rep1	nilotinib_rep2	nilotinib_rep3
AC073128.10	AC073128.10	0	0	0	0.041783	0.042534	0
AC073133.1	AC073133.1	0.011682	0	0.011917	0.012798	0	0.012903
AC073283.4	AC073283.4	0.016392	0.129342	0.044341	0.047229	0.047991	0
AC073321.3	AC073321.3	0	0	0	0	0	0
AC073628.1	AC073628.1	0	0	0	0	0	0
AC074138.3	AC074138.3	2.501388	2.082529	3.170762	3.039703	2.41897	2.605328
AC074286.1	AC074286.1	3.069603	3.674671	3.733418	2.041556	2.071594	2.808402
AC074289.1	AC074289.1	1.113021	1.868505	1.776708	0.918854	1.321995	1.336135
AC078941.1	AC078941.1	0	0	0	0	0	0
AC079117.1	AC079117.1	0	0	0	0	0	0
AC079145.4	AC079145.4	0	0.040445	0	0.03514	0	0.069327
AC079586.1	AC079586.1	0.029192	0.03681	0	0	0	0
AC079610.2	AC079610.2	0	0	0	0	0	0
AC079776.3	AC079776.3	0	0	0	0	0	0
AC087859.1	AC087859.1	0	0	0	0	0	0
AC090044.1	AC090044.1	0	0	0	0	0	0
AC090505.6	AC090505.6	0	0	0	0	0	0
AC091729.9	AC091729.9	3.881931	4.99607	5.971157	4.972256	5.132165	5.970816
AC091878.1	AC091878.1	0	0	0	0	0	0.041269
AC091969.1	AC091969.1	0	0	0	0	0	0
AC092295.7	AC092295.7	1.846377	0.974491	0.529131	1.209707	1.149898	0.949898
AC093375.1	AC093375.1	2.042923	1.680315	2.676582	4.475796	4.939335	5.839959
AC093391.2	AC093391.2	1.08106	1.648041	1.280105	1.162971	1.650278	0.771089
AC093590.1	AC093590.1	0	0	0	0	0	0
AC093690.1	AC093690.1	0.154125	0.194309	0.17308	0.134985	0.381027	0.220259
AC095067.1	AC095067.1	0.022774	0.014368	0	0	0.012824	0
AC096559.1	AC096559.1	2.440049	3.322155	2.034059	1.354111	1.965789	1.364625
AC097468.4	AC097468.4	0	0	0	0	0	0
AC097500.2	AC097500.2	0.674496	0.523746	0.172975	0.273451	0.365199	0.170622
AC097662.2	AC097662.2	0.127075	0.20839	0.233342	0.097431	0.114408	0.084102
AC098823.3	AC098823.3	0.181898	0.290682	0.173183	0.199258	0.232077	0.227562
AC099342.1	AC099342.1	0	0	0	0	0	0
AC104024.1	AC104024.1	0	0	0	0	0	0
AC104134.2	AC104134.2	0.103374	0.182113	0.138567	0.166851	0.181221	0.094613
AC104653.1	AC104653.1	1.588326	1.862177	0.905456	1.048622	0.953577	0.888838
AC104654.1	AC104654.1	0	0	0	0	0	0
AC104654.2	AC104654.2	0	0	0	0.17779	0	0.114264
AC104655.2	AC104655.2	0	0	0.193226	0	0	0.189755
AC104777.2	AC104777.2	0	0	0	0	0	0
AC104777.4	AC104777.4	0	0	0	0	0	0
AC104820.2	AC104820.2	0	0	0	0	0	0
AC105053.3	AC105053.3	0	0.050465	0.010195	0	0	0
AC105253.1	AC105253.1	0	0	0	0	0	0
AC105339.1	AC105339.1	0.077866	0	0	0.141799	0	0.028159
